iter	Passed	Remaining
399	19977	1748
400	20015	1697
401	20056	1646
402	20099	1595
403	20140	1545
404	20181	1494
405	20230	1445
406	20277	1395
407	20315	1344
408	20363	1294
409	20402	1244
410	20467	1195
411	20513	1145
412	20558	1095
413	20615	1045
414	20657	995
415	20703	945
416	20756	895
417	20802	846
418	20892	797
419	20942	747
420	20985	697
421	21032	647
422	21082	598
423	21131	548
424	21172	498
425	21222	448
426	21257	398
427	21300	348
428	21344	298
429	21392	248
430	21440	198
431	21479	149
432	21534	99
433	21578	49
434	21630	0
