iter	Logloss
0	0.6566960747
1	0.6209701996
2	0.5898705589
3	0.5613566848
4	0.535790497
5	0.5111264638
6	0.4882758112
7	0.4687614835
8	0.4508768666
9	0.4336962256
10	0.4186666531
11	0.4021012088
12	0.3864347915
13	0.3743463424
14	0.3621098417
15	0.3513196295
16	0.3396480723
17	0.3295180385
18	0.3198081174
19	0.3113021179
20	0.3026449891
21	0.2947777423
22	0.2876882978
23	0.281627961
24	0.2757135738
25	0.2698530338
26	0.264863103
27	0.2597161162
28	0.2554362326
29	0.2516365552
30	0.2479138494
31	0.2438513732
32	0.2408458945
33	0.2374278923
34	0.2343885567
35	0.2311341532
36	0.2286350271
37	0.2261534283
38	0.2242609171
39	0.2216870599
40	0.2191628154
41	0.2171117064
42	0.2155985737
43	0.2136334209
44	0.2119426513
45	0.2103689798
46	0.2090684273
47	0.2073762419
48	0.2059555757
49	0.2048529613
50	0.2034519199
51	0.2024320926
52	0.2012102073
53	0.200028326
54	0.1987475459
55	0.1978299383
56	0.1969535019
57	0.1960695169
58	0.1954317002
59	0.1945541944
60	0.1937693793
61	0.1931079242
62	0.1923776309
63	0.1917106166
64	0.1911568597
65	0.1905342491
66	0.1899902978
67	0.189464505
68	0.1887832316
69	0.1884486335
70	0.1881026873
71	0.187799414
72	0.1873831553
73	0.1869150817
74	0.1866598434
75	0.1862272926
76	0.1859218832
77	0.1855791627
78	0.1853194142
79	0.1849470238
80	0.1847045189
81	0.1843868871
82	0.1840666538
83	0.1837833535
84	0.1835181717
85	0.1832312613
86	0.1830106043
87	0.1826979104
88	0.1825406606
89	0.1823795302
90	0.1822301889
91	0.1819707571
92	0.1817575444
93	0.1815400592
94	0.1812952528
95	0.1811749724
96	0.1810660066
97	0.1809285451
98	0.1807822137
99	0.1806464955
100	0.180488435
101	0.1803447117
102	0.1801715146
103	0.18008927
104	0.1799802898
105	0.1798708148
106	0.1797000418
107	0.1796012003
108	0.1795120039
109	0.1793613657
110	0.1793012642
111	0.1792165642
112	0.1790790128
113	0.1790064859
114	0.17888179
115	0.1788257982
116	0.1787374446
117	0.1786930579
118	0.1786348144
119	0.1785664953
120	0.1784992264
121	0.1784678446
122	0.1783774897
123	0.1782862453
124	0.1781926075
125	0.1781586867
126	0.1781117395
127	0.178043849
128	0.1779538487
129	0.1779233792
130	0.1778684761
131	0.1778198923
132	0.1777812619
133	0.1777235678
134	0.1776908023
135	0.1776492363
136	0.1775925053
137	0.1775587566
138	0.1775212888
139	0.1774950252
140	0.1774526049
141	0.1774262429
142	0.1773598764
143	0.1772983324
144	0.1772740171
145	0.1772536976
146	0.1772079979
147	0.1771692447
148	0.1771178726
149	0.1771012635
150	0.1770698581
151	0.1770465676
152	0.1770161186
153	0.1769716887
154	0.1769257261
155	0.1769016209
156	0.1768818476
157	0.176852583
158	0.1768226861
159	0.176790823
160	0.1767661064
161	0.1767374861
162	0.1767194902
163	0.1766840786
164	0.1766641929
165	0.1766441504
166	0.1766185021
167	0.1766041273
168	0.1765899042
169	0.1765602055
170	0.1765430713
171	0.1765238829
172	0.1765032803
173	0.176484264
174	0.1764681771
175	0.1764493115
176	0.1764350495
177	0.1764171447
178	0.1764026456
179	0.1763895096
180	0.1763696517
181	0.1763568769
182	0.1763270259
183	0.1763108616
184	0.1762862559
185	0.1762712447
186	0.1762463429
187	0.1762362711
188	0.1762226996
189	0.1762093085
190	0.1761991868
191	0.1761813961
192	0.1761627129
193	0.1761488813
194	0.1761268547
195	0.1761148786
196	0.1761024523
197	0.1760864736
198	0.1760617775
199	0.1760458031
200	0.17603216
201	0.1760079012
202	0.1759945911
203	0.1759770405
204	0.1759534329
205	0.1759410685
206	0.1759176481
207	0.1759072315
208	0.1758938328
209	0.1758846547
210	0.1758713594
211	0.175859929
212	0.1758417896
213	0.1758291222
214	0.1758190238
215	0.1758096429
216	0.175799368
217	0.1757841913
218	0.175765428
219	0.1757538598
220	0.1757404578
221	0.1757308145
222	0.1757110514
223	0.1757015585
224	0.1756862078
225	0.1756761008
226	0.175664636
227	0.1756532744
228	0.1756430808
229	0.1756340208
230	0.1756172127
231	0.1756089135
232	0.1756006876
233	0.1755933396
234	0.1755807224
235	0.175572094
236	0.1755624746
237	0.1755519231
238	0.175541589
239	0.1755323502
240	0.1755249287
241	0.1755137492
242	0.1755045526
243	0.1754948257
244	0.1754848687
245	0.1754758041
246	0.1754626185
247	0.1754546219
248	0.1754465463
249	0.1754378897
250	0.1754304633
251	0.1754243364
252	0.1754143406
253	0.1754056083
