iter	Logloss
254	0.1753981478
255	0.1753861773
256	0.1753721935
257	0.1753548373
258	0.1753485378
259	0.1753402981
260	0.1753241693
261	0.1753106299
262	0.1753016301
263	0.1752930211
264	0.1752870767
265	0.1752782293
266	0.175270326
267	0.1752587552
268	0.1752513694
269	0.1752401198
270	0.1752308843
271	0.1752229335
272	0.1752112268
273	0.1752056144
274	0.1751965564
275	0.1751862339
276	0.1751718116
277	0.1751654647
278	0.1751566992
279	0.1751490852
280	0.1751424681
281	0.1751321214
282	0.1751234533
283	0.1751147017
284	0.1751062742
285	0.1750961374
286	0.1750875163
287	0.1750799828
288	0.1750713497
289	0.1750637609
290	0.1750575806
291	0.1750482468
292	0.1750333316
293	0.1750226726
294	0.1750133047
295	0.1750029849
296	0.1749967484
297	0.1749894856
298	0.1749801625
299	0.1749715011
300	0.174957994
301	0.1749449253
302	0.1749362687
303	0.1749270434
304	0.1749183536
305	0.1749093136
306	0.1749009389
307	0.1748944555
308	0.1748869325
309	0.1748789082
310	0.1748661182
311	0.1748578902
312	0.174850138
313	0.1748427679
314	0.1748334057
315	0.1748266959
316	0.1748182347
317	0.1748126065
318	0.1748042769
319	0.1747968704
320	0.17478934
321	0.1747816395
322	0.1747737691
323	0.1747681143
324	0.1747619655
325	0.1747521652
326	0.1747404202
327	0.1747340152
328	0.1747287028
329	0.1747227495
330	0.1747158718
331	0.1747070994
332	0.1746971363
333	0.1746899724
334	0.174683388
335	0.1746735534
336	0.1746641417
337	0.1746533025
338	0.1746466328
339	0.1746408825
340	0.1746327996
341	0.1746277714
342	0.1746196165
343	0.1746095854
344	0.1746030294
345	0.1745958883
346	0.1745848959
347	0.1745790322
348	0.174570745
349	0.174563119
350	0.1745559253
351	0.1745489387
352	0.1745428332
353	0.1745378747
354	0.1745287396
355	0.1745228317
356	0.1745150255
357	0.1745107598
358	0.1745045062
359	0.1744985759
360	0.1744929286
361	0.1744866733
362	0.1744797969
363	0.1744740639
364	0.1744682115
365	0.1744604482
366	0.174452782
367	0.1744468145
368	0.1744415711
369	0.1744297801
370	0.1744245456
371	0.1744182855
372	0.1744109385
373	0.174404025
374	0.1743939375
375	0.1743863867
376	0.1743789442
377	0.1743727327
378	0.1743657093
379	0.1743565685
380	0.1743484017
381	0.1743421418
382	0.1743384393
383	0.1743328784
384	0.1743267374
385	0.1743212955
386	0.1743108734
387	0.1743020643
388	0.174295688
389	0.1742867886
390	0.1742779896
391	0.1742720399
392	0.1742669177
393	0.1742599429
394	0.1742550783
395	0.1742487685
396	0.1742410175
397	0.1742344016
398	0.1742300083
399	0.1742227332
400	0.1742153567
401	0.1742097563
402	0.1741995132
403	0.1741934828
404	0.1741859316
405	0.1741783034
406	0.1741719992
407	0.1741650412
408	0.1741576418
409	0.1741521292
410	0.1741468802
411	0.1741385503
412	0.1741325452
413	0.1741263509
414	0.1741197063
415	0.1741127293
416	0.1741076469
417	0.1741007362
418	0.1740939088
419	0.1740885286
420	0.174083105
421	0.1740737017
422	0.1740696601
423	0.1740643127
424	0.174057684
425	0.1740488732
426	0.1740399998
427	0.1740359052
428	0.1740308317
429	0.1740226291
430	0.1740170005
431	0.1740091987
432	0.174001763
433	0.1739924824
434	0.1739846293
